Root,Akkadian_Terms
dʾl,dâlu(m)
dʾm,daʾāmu(m) I.II
dʾn,diānum
dʾp,"daʾāpu; dêpu"
dʾr,duārum
dʾṣ,dâṣu(m)
dʾš,diāšum
dbb,dabābu(m) II
(dbq),(dabāqu)
dbr,dabāru
dgl,dagālu(m)
dḫʾ,daḫû(m) II
dḫs,duḫḫusu
dkʾ,dekû(m) II
dkk,dakāku(m) I.II
dkm,dakāmu
dkš,dakāšu(m)
dlʾ,dalû II
dlḫ,dalāḫu(m)
dll,dalālu(m) I.II
dlb,dalāpu(m)
dlp,dalāpu(m)
dmʾ,"dawûm; dummû"
dmm,damāmu(m)
dmq,damāgu(m)
dmṣ,damāṣu
dmš,damāšu
dnʾ,danû(m)
dnn,danānu(m) II
dpn,dapānu(m) II
dpr,duppuru(m)
dqq,daqāqu
dqr,daqāru
dqš,daqāšu(m)
drʾ,"darû(m) I; derû; durrû(m)"
drg,darākum II
drk,darāku(m) I.II.III
drq,darāku III
drr,darāru(m) I.II
drs,darāsu(m)
drš,darāšum
dšʾ,dešû(m)
dšp,dašāpu(m)
dwʾ,dawûm
gʾʾ,"gâʾu; gaʾûm"
gʾr,giāru(m)
gʾs,"gêsu(m) I; gêšu(m) I"
gʾš,"gâšu(m) I.II; gêšu(m) I.II"
gbb,kabābu II
gdd,gadādu
gdm,gadāmu
gḫb,guḫḫubu
glʾ,galû II
glb,gullubu(m) II
gld,galātu(m)
gll,"galālu II; gullulu(m)"
glš,"galāšu; gullušu"
glt,galātu(m)
gltʾ,nagaltû
gmʾ,gamāʾu
gml,gamālu(m)
gmm,gamāmu
gmr,gamāru(m) II
gmt,gummutu
gnʾ,genû
gnḫ,ganāḫu
gnn,ganānu
gnṣ,ganāṣu
gpʾ,gepû
gpr,gapāru(m)
gpš,gapāšu(m)
grʾ,gerû(m)
grm,garāmu
grn,qarānu(m)
grr,"qarāru(m); šugarruru(m)"
grṣ,karāṣu(m)
grš,"garāšum; qarāšu(m)"
gršʾ,nagaršû
gs/ṣr,gazārum
gṣṣ,"gazāzu(m); kaṣāṣu(m) I"
gšʾ,gešû
gšr,gašāru(m)
gšš,gašāšu(m)
gzʾ,gutezzû
gzr,gazārum
gzz,gazāzu(m)
ḫʾb,"ḫâbu II; ḫiāpum"
ḫʾd,"ḫiādu; ḫiāṭu(m)"
ḫʾl,"ḫâlu I; ḫiālum"
ḫʾp,"ḫâpu II; ḫiāpum"
ḫʾq,"ḫâqu II; ḫiāqum"
ḫʾr,ḫiāru(m)
ḫʾs,ḫâsu
ḫʾš,"ḫâšu(m) I.II; ḫiāšum"
ḫʾt,ḫâtum
ḫʾṭ,ḫiāṭu(m)
ḫbʾ,"ḫabû(m) II.III.IV; kubbû II"
ḫbb,ḫabābu(m)
ḫbl,ḫabālu(m) II.III.IV
ḫbr,ḫabāru(m) I.II
ḫbṣ,ḫabāṣu(m) I.II
ḫbš,ḫabāšu(m) I.II
ḫbt,ḫabātu(m) I.II.III.IV
ḫdʾ,ḫadû(m) III.IV
ḫdd,ḫadādu I.II
ḫdl,ḫadālu(m) I.II
ḫdq,ḫadāqu
ḫdr,adāru(m) I
ḫdš,ḫadāšu
ḫḫʾ,ḫaḫû II
ḫkʾ,ḫakûm
ḫkm,ḫakāmu(m)
ḫkr,ḫakāru(m)
ḫlʾ,"ḫalûm III; ḫelû(m) II"
ḫlb,ḫalābu
ḫll,"alālu III; ḫalālu(m) I.II.IV"
ḫlp,ḫalāpu(m) I.II
ḫlq,ḫalāqu(m)
ḫlṣ,ḫalāṣu(m)
ḫlṣʾ,neḫelṣû(m)
ḫlš,ḫalāsu(m)
ḫlt,ḫalātum
ḫmʾ,"ḫamāʾu; ḫamû II.III; ḫawû"
ḫmd,ḫamādum
ḫml,ḫamālu
ḫmm,ḫamāmu(m)
ḫmr,"ḫamāru(m); ḫemēru"
ḫms,ḫummusum
ḫmṣ,ḫamāṣu(m)
ḫmš,ḫamāšu(m) I.II
ḫmṭ,ḫamāṭu(m) II.III
