Root,Akkadian_Terms
sʾl,"saʾālu; sâlu II; sêlu"
sʾm,siāmum
sʾp,"saʾābu; sâbu(m)"
sʾq,siāqum
sʾr,"sâru(m); sêru(m)"
sʾs,suʾʾusu
sʾt,sâtu
sʾṭ,"sâṭu; šêtu(m) II"
sbʾ,"sabāʾu(m); sabû"
sbk,sabāku(m)
sbl,zabālu(m)
sbs,"subbusu II; šabāsu(m)"
sdd,sadādu I.II
sdḫ,sadāḫum
sdr,sadāru(m)
sgʾ,"sagû III; segû"
sḫʾ,sehû(m)
sḫḫ,saḫāḫu(m)
sḫl,saḫālu(m)
sḫm,saḫāmu(m)
sḫn,saḫānu
sḫp,saḫāpu(m)
sḫr,saḫāru(m)
sḫš,saḫāšu(m)
skd,zaqādum
skk,sakāku(m)
skl,sakālu(m) I.II
skn,"sakānu; šakānu(m)"
skp,sakāpu(m) I.II
skr,sekēru(m) I.II
skt,sakātu(m)
slʾ,"salāḫu(m) II; salāʾu(m) I.II.III; sullû(m) IV; šalû(m) I.II"
sld,"salātu(m) II; salāṭu"
slḫ,salāḫu(m) I.II
sll,salālu(m)
slm,salāmu(m) II
sln,sullunu II
slq,salāqu I.II
slt,salātu(m) II
slṭ,salāṭu
smʾ,samû II
smd,samādu(m)
smḫ,samāḫu(m)
smk,samāku(m)
smr,samārum
smš,samāšu(m)
snb,sanāpu(m)
snn,sanānu
snp,sanāpu(m)
snq,sanāqu(m) I.II
sns/š,sanāšu
spʾ,"sepû(m) II.III; suppû II"
spd,sapādu(m)
spḫ,sapāḫu(m)
spk,sapāku
spn,sapānu(m)
spq,sapāqu
spr,sepēru
sps,šapāṣu I
sqd,zaqādum
sql,saqālu
sqp,zaqāpu(m)
sqr,"zakāru(m); zaqāru(m) I"
srʾ,"surrûm II; zarû(m) II"
srd,"sarādu(m); serēdu"
srḫ,sarāḫu(m)
srm,sarāmu(m)
srp,sarāpu
srq,sarāqu(m) I
srr,"sarāru(m); sarruru"
ssʾ,šasû(m)
stl,satālu
sṭḫ,sadāḫum
sṭr,šaṭāru(m) II
ṣʾʾ,"ṣêʾu; ṣuāʾu"
ṣʾd,ṣâdu(m) I.II
ṣʾḫ,ṣiāḫu(m)
ṣʾl,ṣâlu(m)
ṣʾn,"ṣânu I; ṣênu(m) I"
ṣʾp,"ṣêpum; ṣuppu II"
ṣʾr,"ṣeʾārum; ṣêru(m) I; ṣiāru(m)"
ṣʾy,ṣêʾu
ṣbʾ,"ṣabāʾum; ṣabû(m) IV; ṣapû(m) II; ṣubbû(m)"
ṣbb,ṣabābu
ṣbl,zabālu(m)
ṣbr,ṣabāru(m) I.II
ṣbt/ṭ,ṣabātu(m)
ṣdʾ,ṣadû(m)
ṣdr,ṣadāru
ṣḫr,ṣeḫēru(m)
ṣḫt,ṣaḫātu(m) I.II
ṣlʾ,"salāʾu; ṣelû(m) I.II; ṣullû III"
ṣll,"ṣalālu(m); ṣullulu(m) II"
ṣlm,ṣalāmu(m)
ṣlp,ṣalāpu(m)
ṣmʾ,ṣamû(m) II
ṣmd,ṣamādu(m)
ṣmr,"ṣamāru(m) I; ṣemēru(m)"
ṣmt,ṣamātu
ṣnḫ,ṣanāḫu
ṣpʾ,ṣapû(m) II
ṣpḫ,ṣappuḫu
ṣpn,ṣapānu
ṣpp,ṣabābu
ṣpr,ṣapāru(m)
ṣrd,ṣarātu(m)
ṣrḫ,"ṣarāḫu(m) I.II.III.IV; ṣurruḫu II"
ṣrk,ṣarākum
ṣrm,ṣarāmu(m)
ṣrp,ṣarāpu(m) I.II
ṣrr,ṣarāru(m) I.III
ṣrš,ṣarāšu(m)
ṣrt,ṣarātu(m)
ṣwʾ,ṣawwûm
šʾʾ,"šâʾu(m); šaʾû(m) II; šêʾu(m) I.II; šeʾû(m); šuḫḫû III; šutaʾʾûm"
šʾb,"šâbu(m) I; šiābu(m)"
šʾḫ,"šêḫu; šiāḫum"
šʾk,šâqum II
šʾl,"šâlu(m) I; šêlu(m); šiālu(m)"
šʾm,"šâmu(m) I; šiāmu(m); šummu(m) IV"
šʾn,"šênu; šiānu(m); šunnu(m) II"
šʾp,šêpu
šʾq,"šâqu(m) I.II; šêqu(m)"
šʾr,"šaʾāru(m) I.II; šâru II; šeʾēru II; šêru(m); šurru(m)"
šʾṣ,šâṣu
šʾt,šêtu(m) II
šʾṭ,"šâṭu I.II; šêṭu(m); šiāṭu"
šbʾ,"šapû(m) II.III.IV; šebû(m) I"
šbʾʾ,šubeʾʾû(m)
šbb,šabābu(m) I.II
šbḫ,"šabāḫu I; šapāḫu(m); šubbuḫu"
šbr,šebēru
šbs,šabāsu(m)
šbṣ,šapāṣu(m) I.II
šbš,"šabāsu(m); šabāšu(m) I"
šbt,"šabāṭu(m) II; šapāṭu(m) I; šubbutu"
šbṭ,šabāṭu(m) II
šdʾ,"šadû IV; tuddû"
šdd,šadādu(m)
šdḫ,šadāḫu(m)
šdl,šadālu(m)
šgʾ,"šagû II; šegû(m) II"
šgg,šagāgu
šgl,šagālu(m)
šgm/n,šagāmu(m) II
šgrr,šugarruru(m)
šgš,šagāšu(m)
šḫʾ,"šaḫû II.III; šêḫu; šuḫḫû(m) II.III"
šḫd,šaḫādum
šḫḫ,šaḫāḫu(m)
šḫl,šaḫālu(m)
šḫn,šaḫānu(m)
šḫq,šeḫēqu
šḫrr,šuḫarruru(m) II
šḫt,šaḫātu(m) III.IV
šḫṭ,"šaḫātu(m) III.IV; šaḫāṭu(m) I.II.V"
škʾ,šekûm
škʾn,šukênu(m)
škk,šakāku(m)
škl,"šakālum; šukkulu(m)"
škm,"šakāmu(m) I; šakānu(m)"
škn,šakānu(m)
škr,šakāru
šks,šakāsum
škṣ,šakāṣu(m)
škš,šagāšu(m)
škt,šakātu
šlʾ,"šalāʾum; šalû(m) I.II; šelû II.IV"
šlḫ,"salāḫu II; šalāḫu(m) I.II"
šll,šalālu(m) I.II
šlm,šalāmu(m) II
šlp,šalāpu(m)
šlpʾ,nešalpû
šlq,šalāqu(m)
šlš,šalāšu(m)
šlṭ,šalāṭu(m) I.II
šmʾ,"šawû II; šemû(m) I; šummû II"
šmd,šamādu
šmḫ,"samāḫu(m); šamāḫu(m)"
šmk,"šamāḫu(m); šamākum"
šmm,šamāmu
šmr,šamāru(m) I.II
šmt,"šamātu I; šamāṭu(m) II"
šmṭ,šamāṭu(m) I.II
šnʾ,"šanāʾu I; šanû(m) III.IV.V.VI; šenû(m)"
šnḫ,šanāʾu I
šnn,šanānu(m)
šnq,"sanāqu(m) I; šunnuqu"
šnṣ,šanāṣu
šnš,sanāšu
šnz,šanāzu
špʾ,"šapû(m) II.III.IV; šepû(m) IV"
špʾl,šupêlu(m)
špḫ,šapāḫu(m)
špk,šapāku(m)
špl,šapālu(m)
špn,šapānu
špp,šapāpu(m)
špr,šapāru(m)
šps,šapāṣu I
špṣ,šapāṣu(m) I.II
špš,šapāšum
špt,šapāṭu(m) I.II
špṭ,šapāṭu(m) I.II
šqʾ,"šaqû(m) II.III; šuqqû"
šql,šaqālu(m)
šqll,šuqallulu(m)
šqmm,šuqammumu(m)
šqq,šaqāqu II
šqr,"šaqāru; šuqquru(m)"
šqt,šaqātu(m)
šrʾ,"šarû(m) II; šerû I.II.III; šurrû(m) II"
šrbṣ/ṭ,našarbuṭu(m)
šrd,šitrudu
šrgʾ,šergûm
šrḫ,šarāḫu(m) I.II
šrk,šarāku(m) I.II
šrkʾ,šergûm
šrm,šarāmu(m)
šrp,šarāpu(m)
šrq,šarāqu(m) I
šrr,šarāru(m) I.II
šrṣ,šarāṣu
šrṭ,šarāṭu(m)
šṣʾ,šaṣû
šsʾ,šasû(m)
štʾ,šatû(m) II.III
štḫ,šatāḫu
štn,šatānu
štp,"šatāpu; šutattupu"
štq,šatāqu I.II
šṭʾ,šeṭû(m) II
šṭp,šaṭāpu(m)
šṭr,šaṭāru(m) II
šṭṭ,šaṭāṭu
šwʾ,šawû II
šwr,šewērum
tʾʾ,"tamû II; taʾû(m) I; têʾu"
tʾb,têbum
tʾl,têlu(m)
tʾm,tuʾʾumu II
tʾp,"tâpu; têbum"
tʾr,târu(m)
tbʾ,tebû(m)
tbk,tabāku(m)
tbl,tabālu(m)
tdʾ,tuddû
tdn,tadānu(m)
tgn,taqānu(m)
tḫḫ,taḫāḫu
tkk,takāku(m)
tkl,takālu(m)
tkp,takāpu(m)
tlʾ,tullû II
tlk,tullukum
tll,"talālu(m); tullulu"
tlm,"šutlumu(m); tullumum"
tmʾ,tamû(m) II.III
tmḫ/k,tamāḫu(m)
tmm,tamāmum
tmr,temēru(m)
tpʾ,"tappûm II; tapû"
tpk,tabāku(m)
tpš,tapāšum
tqm,taqānu(m)
tqn,taqānu(m)
trʾ,tarû(m) I.II
trḫ,tarāḫu
trk,tarāku(m)
trp,tarāpu
trq,tarāqum
trr,tarāru(m)
trs/ṣ,ṭarāsu
trṣ,tarāṣu(m) I.II
trš,tarāšum
tṣʾ,"taṣû(m); teṣû(m)"
tšb,tašābu(m)
twʾ,tawûm
tzʾ,teṣû(m)
ṭʾb,ṭiābu(m)
ṭʾm,ṭêmu(m)
ṭʾn,ṭênu(m)
ṭʾp,ṭâpu(m)
ṭbʾ,ṭebû(m)
ṭbḫ,ṭabāḫu(m)
ṭḫʾ,ṭeḫû(m) I.II
ṭḫd,ṭaḫādu(m)
ṭlm,ṭullumum
ṭmʾ,ṭawûm
ṭmm,ṭummumu II
ṭnp,ṭanāpu
ṭpʾ,ṭepû(m)
ṭpl,ṭapālu(m)
ṭpp,ṭapāpu
ṭpr,ṭapāru(m)
ṭpš,ṭapāšu
ṭrʾ,ṭerû(m)
ṭrd,ṭarādu(m)
ṭrr,ṭarāru
ṭrs/ṣ,ṭarāsu
ṭrš,ṭarāšu
ṭwʾ,ṭawûm
wʾʾ,wuʾʾûm
wʾr,(w)âru(m)
wʾṣ,wiāṣum
wʾš,wêšum
wbʾ,wabāʾu(m)
wbd,wabātum
wbl,wabālu(m)
wbt/ṭ,wabātum
wdʾ,"tuddû; (w)adû(m)"
wgʾ,wagûm
wkl,wakālum
wkm,(w)akāmu(m)
wlʾ,alāʾu
wld,(w)alādu(m)
wmʾ,wamāʾum
wml,(w)amālu(m)
wpʾ,(w)apû(m)
wpd,wabātum
wpš,wapāšum
wpt/ṭ,wabātum
wqʾ,(w)aqû(m)
wqr,(w)aqāru(m)
wrʾ,"warûm II; wurrûm"
wrd,(w)arādu(m)
wrḫ,"arāḫu(m) I; warāḫum"
wrk,→ namarkû
wrq,(w)arāqu(m)
wrš,(w)arāšu(m)
wsʾ,wussûm
wsm,(w)asāmu(m)
wsq,asāqu
wṣʾ,"(w)aṣû(m); (w)uṣṣû(m)"
wṣb,waṣābum
wṣṣ,(w)uṣṣuṣu(m)
wšʾ,(w)ašû(m) I
wšb,(w)ašābu(m)
wšm,wašāmum
wšn,wašānum
wšp,(w)ašāpu(m)
wšr,wašārum
wšṭ,(w)ašāṭu(m)
wtʾ,(w)atû(m)
wtr,(w)atāru(m)
wzn,wazzunum
zʾʾ,"zeʾû; zuʾʾû"
zʾb,zâbu(m)
zʾk,sâku(m)
zʾn,zaʾānu(m)
zʾp,zuʾʾupu
zʾq,ziāqu(m)
zʾr,"zâru I; zêru(m)"
zʾz,zâzu(m)
zbl,zabālu(m)
zkʾ,zakû(m) II
zkd,zaqādum
zkp,"sakāpu(m) I; zaqāpu(m)"
zkr,zakāru(m)
zmʾ,"zemû; zummû(m) II"
zmn,zummunu
zmr,"samārum; zamāru(m) II"
znʾ,zenû(m) II
znd,zanādu
znn,zanānu(m) I.II
znq,zunnuqu
zpr,zapāru
zqd,zaqādum
zqn,zaqānu(m)
zqp,zaqāpu(m)
zqr,"zakāru(m); zaqāru(m) I"
zqt,zaqātu(m) I.II
zrʾ,zarû(m) II
zrb,zarāpu
zrbb,nazarbubu(m)
zrp,zarāpu
zrq,zarāqu(m)
