"Column","Description","Example","Required"
"Transliteration","The raw transliterated form (input).","i-na, LUGAL","YES"
"CF","Citation Form (dictionary form).","ina, šarru","YES"
"GW","Guide Word (main CDA meaning).","in, king","YES"
"Sense","Specific contextual meaning (optional).","on, royal","NO"
"POS","Part of Speech (grammatical category).","PRP, N","YES"
"EPOS","Effective POS (actual function in context).","SBJ (for kī)","NO"
"NORM0","Normalization (complete phonetic form).","ina, šarri","YES"
"Dialect","Dialect of the text (if it varies).","sb, na, ob","NO"
